date,ticker,open,high,low,close,volume,next_close,ret_1d
2026-02-02,^GSPC,6916.64013671875,6991.919921875,6914.33984375,6976.43994140625,5772050000.0,6917.81005859375,-0.008403983020698362
2026-02-03,^GSPC,6985.4501953125,6993.080078125,6862.0498046875,6917.81005859375,7017660000.0,6882.72021484375,-0.005072391906223145
2026-02-04,^GSPC,6924.5,6936.08984375,6838.7998046875,6882.72021484375,7475750000.0,6798.39990234375,-0.01225101556767468
2026-02-05,^GSPC,6837.39013671875,6857.85009765625,6780.1298828125,6798.39990234375,6989120000.0,6932.2998046875,0.01969579669733579
2026-02-06,^GSPC,6816.740234375,6944.89013671875,6816.740234375,6932.2998046875,6283680000.0,6964.81982421875,0.004691086716887306
2026-02-09,^GSPC,6917.259765625,6980.10009765625,6905.8701171875,6964.81982421875,5650260000.0,6941.81005859375,-0.0033037129754582024
2026-02-10,^GSPC,6974.490234375,6986.830078125,6937.52978515625,6941.81005859375,5595950000.0,6941.47021484375,-4.8956071562241e-05
2026-02-11,^GSPC,6976.47998046875,6993.47998046875,6911.97021484375,6941.47021484375,6175510000.0,6832.759765625,-0.015661012127701976
2026-02-12,^GSPC,6957.5400390625,6973.22021484375,6824.0400390625,6832.759765625,7118700000.0,6836.169921875,0.000499089148012519
2026-02-13,^GSPC,6834.27001953125,6881.9599609375,6794.5498046875,6836.169921875,5718360000.0,,
2026-02-16,^GSPC,,,,,,6843.22021484375,
2026-02-17,^GSPC,6819.85986328125,6866.990234375,6775.5,6843.22021484375,5418480000.0,6881.31005859375,0.005566070147410812
2026-02-18,^GSPC,6855.47998046875,6909.1201171875,6849.66015625,6881.31005859375,5098160000.0,6861.89013671875,-0.002822125686772006
2026-02-19,^GSPC,6861.33984375,6879.1201171875,6833.06005859375,6861.89013671875,5151690000.0,6909.509765625,0.006939724763506775
2026-02-20,^GSPC,6843.259765625,6915.85986328125,6836.330078125,6909.509765625,5432480000.0,6837.75,-0.010385652247284865
2026-02-23,^GSPC,6901.25,6916.9599609375,6819.81982421875,6837.75,5638350000.0,6890.06982421875,0.007651614086322255
2026-02-24,^GSPC,6837.3701171875,6899.169921875,6815.43017578125,6890.06982421875,5266090000.0,6946.1298828125,0.008136355657340022
2026-02-25,^GSPC,6915.14990234375,6952.509765625,6915.14990234375,6946.1298828125,5328060000.0,6908.85986328125,-0.005365580569328385
2026-02-26,^GSPC,6944.740234375,6947.25,6859.72998046875,6908.85986328125,5889550000.0,6878.8798828125,-0.004339352811031182
2026-02-27,^GSPC,6856.5400390625,6882.9599609375,6831.740234375,6878.8798828125,6665660000.0,6881.6201171875,0.0003983547353176964
2026-03-02,^GSPC,6824.35986328125,6901.009765625,6796.85009765625,6881.6201171875,6079080000.0,,
2026-02-02,^NSEI,24796.5,25108.099609375,24679.400390625,25088.400390625,449200.0,25727.55078125,0.025475932330218904
2026-02-03,^NSEI,26308.05078125,26341.19921875,25641.30078125,25727.55078125,637300.0,25776.0,0.0018831648283174059
2026-02-04,^NSEI,25675.05078125,25818.55078125,25563.94921875,25776.0,429800.0,25642.80078125,-0.005167567456160769
2026-02-05,^NSEI,25755.900390625,25757.650390625,25579.5,25642.80078125,343800.0,25693.69921875,0.0019849016468285676
2026-02-06,^NSEI,25605.80078125,25703.94921875,25491.900390625,25693.69921875,375500.0,25867.30078125,0.0067565810988132885
2026-02-09,^NSEI,25888.69921875,25922.25,25780.900390625,25867.30078125,359400.0,25935.150390625,0.002622987606970613
2026-02-10,^NSEI,25922.650390625,25989.44921875,25870.44921875,25935.150390625,460900.0,25953.849609375,0.0007209990483324657
2026-02-11,^NSEI,25997.44921875,26009.400390625,25899.80078125,25953.849609375,331400.0,25807.19921875,-0.0056504292362096155
2026-02-12,^NSEI,25906.69921875,25906.69921875,25752.400390625,25807.19921875,419400.0,25471.099609375,-0.013023482576552116
2026-02-13,^NSEI,25571.150390625,25630.349609375,25444.30078125,25471.099609375,453500.0,25682.75,0.008309432803093396
2026-02-16,^NSEI,25423.599609375,25697.0,25372.69921875,25682.75,275800.0,25725.400390625,0.0016606629206373927
2026-02-17,^NSEI,25637.94921875,25764.400390625,25570.30078125,25725.400390625,344100.0,25819.349609375,0.0036520021971839754
2026-02-18,^NSEI,25752.650390625,25828.05078125,25645.150390625,25819.349609375,310200.0,25454.349609375,-0.014136684522350191
2026-02-19,^NSEI,25873.349609375,25885.30078125,25388.75,25454.349609375,298200.0,25571.25,0.004592550680687785
2026-02-20,^NSEI,25406.55078125,25663.55078125,25379.75,25571.25,296600.0,25713.0,0.005543334799824021
2026-02-23,^NSEI,25678.400390625,25771.44921875,25609.349609375,25713.0,313700.0,25424.650390625,-0.011214156627970288
2026-02-24,^NSEI,25641.80078125,25641.80078125,25327.599609375,25424.650390625,439100.0,25482.5,0.002275335490801135
2026-02-25,^NSEI,25512.599609375,25652.599609375,25428.19921875,25482.5,414200.0,25496.55078125,0.0005513894339252429
2026-02-26,^NSEI,25556.30078125,25572.94921875,25400.94921875,25496.55078125,405200.0,25178.650390625,-0.012468368500212268
2026-02-27,^NSEI,25459.849609375,25476.400390625,25141.30078125,25178.650390625,438900.0,24865.69921875,-0.012429227421638295
2026-03-02,^NSEI,24659.25,24989.349609375,24603.5,24865.69921875,519200.0,,
